Q23002039	college	college
Q189004	college	college
Q23002039	colleges	college
Q189004	colleges	college
Q13217683	senator	senator
Q15686806	senator	senator
Q13217683	senators	senator
Q15686806	senators	senator
Q889821	governor	U.S. governor
Q1307214	government	government
Q1307214	system	system
Q131074	lord of the rings	The Lord of the Rings
Q190214	lord of the rings	The Lord of the Rings
Q716565	eowyn	Ã‰owyn
Q1744	madonna	Madonna
Q34821	kennedys	Kennedy family
Q9696	kennedy	John F. Kennedy
Q34821	kennedy	Kennedy family
Q9696	jfk	JFK
